epoch,loss
0,100074026.17250496
1,94788064.56113681
2,90036288.16853933
3,85571314.29543953
4,81403464.2623926
5,77423505.77990746
6,73683343.0171844
7,70150784.80766688
8,66826401.759418376
9,63705198.99206874
10,60746804.879709184
11,57953498.898215465
12,55313999.159286186
13,52805434.75611368
14,50446585.23231989
15,48213559.39061467
16,46087103.719431594
17,44084079.35029742
18,42185599.048578985
19,40376574.4074686
20,38669911.201586254
21,37051220.54230007
22,35508506.190680765
23,34051718.62590879
24,32669527.907468606
25,31358045.293456707
26,30113288.199272968
27,28932298.060145408
28,27816025.781229347
29,26752507.335426304
30,25743926.72504957
31,24787143.254791804
32,23876770.419200264
33,23016582.500991408
34,22198490.683079973
35,21427988.41754792
36,20692970.670522142
37,19996452.533707865
38,19336628.16721745
39,18713340.86946464
40,18122676.325842697
41,17561305.64441507
42,17029448.37557832
43,16525476.935558492
44,16047910.249008592
45,15595255.95538665
46,15166111.414573696
47,14759266.302379379
48,14373389.820555188
49,14007334.843027098
50,13659975.448777264
51,13330945.569398547
52,13017796.061797753
53,12720898.597984137
54,12438171.081460673
55,12169350.570885658
56,11913641.637475215
57,11670341.222405815
58,11439130.74041639
59,11218443.051222736
60,11008148.260244546
61,10807662.380700596
62,10616715.82848645
63,10434128.215465961
64,10260068.3134501
65,10093454.436219431
66,9934232.14284534
67,9782181.726701917
68,9636662.922670191
69,9497101.15639458
70,9363656.243142763
71,9235521.63516193
72,9113065.860046266
73,8995569.011318572
74,8882781.081212822
75,8774469.694233311
76,8670389.138136154
77,8570327.824355586
78,8474117.489590218
79,8381537.623182419
80,8292430.444068077
81,8206625.231906808
82,8123942.700512228
83,8044271.725132188
84,7967461.312789161
85,7893375.1211169865
86,7821889.417134832
87,7752885.204395241
88,7686253.001900198
89,7621826.53263384
90,7559649.212326503
91,7499545.459269663
92,7441442.558740912
93,7385177.106576338
94,7330804.323777264
95,7278196.985955056
96,7227253.900776602
97,7177946.299653008
98,7130177.56526768
99,7083859.512144745
100,7039017.323529412
101,6995547.9766192995
102,6953405.823116325
103,6912544.715300727
104,6872895.185888962
105,6834432.5338731
106,6797106.823446794
107,6760885.312376074
108,6725685.492151355
109,6691540.003056841
110,6658355.533625248
111,6626146.827247191
112,6594844.4418374095
113,6564421.50801388
114,6534863.6787012555
115,6506124.790152016
116,6478178.208939194
117,6451012.215713814
118,6424576.384418374
119,6398867.858228684
120,6373836.363433575
121,6349491.585013219
122,6325779.884996695
123,6302733.081212822
124,6280295.001900198
125,6258462.850958361
126,6237172.21951421
127,6216455.545109055
128,6196295.4646397885
129,6176642.712409121
130,6157501.465961666
131,6138824.57757766
132,6120651.695555189
133,6102934.307914739
134,6085680.006857237
135,6068838.281559815
136,6052431.467614012
137,6036430.230006609
138,6020839.948446794
139,6005626.779907469
140,5990773.344679445
141,5976300.479510905
142,5962178.034368804
143,5948397.180518837
144,5934943.215796431
145,5921821.368142763
146,5909016.2750330465
147,5896519.36946464
148,5884326.330138797
149,5872428.453734303
150,5860787.177875083
151,5849448.6319398545
152,5838362.872686715
153,5827531.315350298
154,5816960.552131527
155,5806640.482237277
156,5796550.650363516
157,5786691.497521481
