epoch,loss
0,100074026.17250496
1,94469815.10575016
2,89824237.79907468
3,85400358.91738269
4,81170437.03502974
5,77202586.87508261
6,73476226.19828156
7,69967622.34500991
8,66653105.834104426
9,63526734.12756114
10,60577059.32187706
11,57806244.012557834
12,55188499.2881692
13,52712557.99603437
14,50357486.33575677
15,48128564.098149374
16,46029473.35327165
17,44039473.294778585
18,42142465.21150033
19,40344230.02775942
20,38647172.12590879
21,37020988.56807667
22,35493511.59319233
23,34043276.012888305
24,32660579.920356907
25,31354245.095175147
26,30109031.36087244
27,28932223.929279577
28,27815324.742233973
29,26751343.556840714
30,25745780.19828156
31,24791807.04890945
32,23883633.491242565
33,23025510.19695968
34,22209058.73892928
35,21437563.853932586
36,20706157.113681428
37,20012790.30023133
38,19353657.25
39,18730865.713483147
40,18138791.329312623
41,17577729.54130866
42,17047467.64292796
43,16543552.743721085
44,16067173.425974885
45,15615481.62623926
46,15186167.962987442
47,14779917.754957039
48,14393622.210674157
49,14027929.129543953
50,13680028.869960343
51,13350474.00826173
52,13037479.245042961
53,12740036.25826173
54,12457299.351123596
55,12188400.81311963
56,11932591.277263714
57,11689099.601123596
58,11457244.462326504
59,11236310.339226702
60,11025748.675644414
61,10824933.33129544
62,10633350.221910112
63,10450468.247191012
64,10275781.730667548
65,10108855.358889623
66,9949249.506857237
67,9796582.297504958
68,9650502.545604758
69,9510579.99843027
70,9376586.745538665
71,9248109.754130866
72,9124928.680766689
73,9006745.665482486
74,8893309.513797091
75,8784366.124008592
76,8679717.762062129
77,8579103.818820225
78,8482336.686219431
79,8389261.125
80,8299682.163995373
81,8213411.229510905
82,8130327.705386649
83,8050243.680023133
84,7973036.249752148
85,7898589.663251817
86,7826754.046678784
87,7757427.198529412
88,7690495.629791805
89,7625840.802214144
90,7563377.6815102445
91,7503022.005452743
92,7444646.651602776
93,7388203.802131527
94,7333613.4571216125
95,7280793.090879048
96,7229641.273959022
97,7180134.244629875
98,7132173.980089227
99,7085718.568572373
100,7040703.305684071
101,6997068.230419696
102,6954784.981989425
103,6913759.756361533
104,6873972.7585922
105,6835396.626734964
106,6797943.608311302
107,6761597.398628552
108,6726313.502891606
109,6692056.475545274
110,6658794.887062129
111,6626470.837161269
112,6595076.674074686
113,6564570.605171844
114,6534912.855006609
115,6506107.507187706
116,6478083.943241904
117,6450841.755370125
118,6424345.896645737
119,6398589.214722406
120,6373513.352280238
121,6349132.077908129
122,6325385.8819398545
123,6302288.211087244
124,6279806.662177793
125,6257929.660194977
126,6236607.9646397885
127,6215870.292547918
128,6195648.914325843
129,6175974.630617977
130,6156798.269662921
131,6138113.492399207
132,6119906.987276933
133,6102171.711913417
134,6084865.484798414
135,6068017.853436881
136,6051595.287508261
137,6035582.923909452
